block_start,block_end,average_distance
1,5,0.353869921875
2,6,0.341514453125
3,7,0.3314509765625
4,8,0.3339609375
5,9,0.3262703125
6,10,0.31325830078125
7,11,0.312029296875
8,12,0.30266220703125
9,13,0.2979515625
10,14,0.298609765625
11,15,0.29715693359375
12,16,0.305169921875
13,17,0.30104619140625
14,18,0.2932578125
15,19,0.28058271484375
16,20,0.2590826171875
17,21,0.23788330078125
18,22,0.2209384765625
19,23,0.21057158203125
20,24,0.20399326171875
21,25,0.198937890625
22,26,0.183380712890625
23,27,0.1763279296875
24,28,0.17771142578125
25,29,0.179220654296875
26,30,0.19293076171875
27,31,0.24756767578125
28,32,0.3866642578125
