block_start,block_end,average_distance
1,3,0.26697412109375
2,4,0.2826642578125
3,5,0.280796484375
4,6,0.276364453125
5,7,0.27403662109375
6,8,0.2671091796875
7,9,0.2629849609375
8,10,0.25263193359375
9,11,0.2462779296875
10,12,0.23758701171875
11,13,0.24004716796875
12,14,0.2503556640625
13,15,0.2387423828125
14,16,0.235559375
15,17,0.22609482421875
16,18,0.21673740234375
17,19,0.19316484375
18,20,0.17050126953125
19,21,0.159243310546875
20,22,0.15383564453125
21,23,0.14929736328125
22,24,0.137632470703125
23,25,0.131052197265625
24,26,0.124659765625
25,27,0.118412158203125
26,28,0.12783935546875
27,29,0.134651611328125
28,30,0.1465720703125
29,31,0.20623623046875
30,32,0.3558021484375
